work_order_id,vehicle_id,service_date,service_type,parts_replaced,labour_hours,cost_inr,downtime_hours,failure_reported,technician_id
WO-000022,VEH-0310,24/12/2024 00:00,Motor Overhaul,Landing Skid,2.4,INR 37145.35,15.5,yes,TEC-191
WO-000023,VEH-0310,07/02/2025 00:00,Engine Service,NA,4.8,"19,075.68",42.7,Y,TEC-059
WO-000024,VEH-0310,2024-05-08 00:00:00,Firmware Update,Propeller x2,10.4,"30,672.58",35.2,Y,TEC-216
WO-000025,VEH-0480,2024-02-01 00:00:00,Firmware Update,Battery Pack,4.4,INR 1084.97,8.9,Y,TEC-150
WO-000026,VEH-0480,2024-08-03 00:00:00,Engine Service,"Brake Pads, Fluid",5.4,5995.37,2.5,,TEC-180
WO-000027,VEH-0480,20-11-2024,Motor Overhaul,Propeller x2,5.5,46145.84,45.6,N,TEC-107
WO-000028,VEH-0480,2025-04-10 00:00:00,Frame Repair,,8.4,"11,796.86",7.9,no,TEC-114
WO-000029,VEH-0480,03-03-2024,Firmware Update,,1.1,19355.55,63.0,yes,TEC-087
WO-000030,VEH-0480,09-01-2024,Propeller Replacement,Landing Skid,13.3,INR 35916.92,31.3,,TEC-179
WO-000031,VEH-0224,07/05/2024 00:00,Tyre Change,NA,7.3,INR 42626.28,61.5,,TEC-202
WO-000032,VEH-0224,18-05-2024,Frame Repair,NA,2.1,INR 33066.05,82.6,Y,TEC-144
WO-000033,VEH-0365,01-08-2024,Motor Overhaul,Propeller x2,6.3,38329.99,54.0,no,TEC-126
WO-000034,VEH-0365,13/09/2024 00:00,Frame Repair,,6.4,45956.21,15.4,Y,TEC-174
WO-000035,VEH-0365,10/05/2024 00:00,Frame Repair,"Motor, ESC",13.1,34522.91,31.3,no,TEC-052
WO-000036,VEH-0365,17/06/2024 00:00,Battery Pack Swap,Propeller x2,3.9,"6,918.38",81.2,yes,TEC-076
WO-000037,VEH-0491,2024-12-16 00:00:00,Tyre Change,Propeller x2,9.8,23172.29,36.5,no,TEC-143
WO-000038,VEH-0491,2024-10-24 00:00:00,Battery Pack Swap,,8.2,"27,368.30",11.3,,TEC-009
WO-000039,VEH-0491,09-06-2024,Tyre Change,NA,7.1,1240.59,42.9,no,TEC-110
WO-000040,VEH-0491,05-06-2024,Firmware Update,Propeller x2,2.5,INR 6347.87,67.6,no,TEC-140
WO-000041,VEH-0491,11/05/2024 00:00,Routine Inspection,Propeller x2,13.6,37014.34,27.2,yes,TEC-031
WO-000042,VEH-0491,27-01-2024,Battery Pack Swap,Battery Pack,12.1,28624.42,52.0,,TEC-057
WO-000043,VEH-0199,2024-08-14 00:00:00,Routine Inspection,Battery Pack,4.5,16540.65,9.9,,TEC-120
WO-000044,VEH-0199,28-05-2025,Firmware Update,Propeller x2,12.0,INR 10127.94,43.4,Y,TEC-135
WO-000045,VEH-0199,21-05-2025,Tyre Change,Battery Pack,9.5,"44,499.39",82.7,Y,TEC-200
WO-000046,VEH-0199,06-12-2024,Routine Inspection,NA,3.3,"16,422.26",23.0,no,TEC-057
WO-000047,VEH-0199,2024-05-11 00:00:00,Battery Pack Swap,Propeller x2,3.6,INR 13752.50,15.2,no,TEC-067
WO-000048,VEH-0199,11/10/2024 00:00,Engine Service,Battery Pack,8.8,INR 11275.49,4.3,yes,TEC-141
WO-000049,VEH-0278,26/06/2025 00:00,Engine Service,"Motor, ESC",4.3,"33,444.67",4.9,Y,TEC-069
WO-000050,VEH-0034,20/11/2024 00:00,Routine Inspection,,10.6,"42,108.70",94.3,yes,TEC-216
WO-000051,VEH-0034,22-12-2024,Routine Inspection,NA,8.1,"1,396.62",61.9,no,TEC-002
WO-000052,VEH-0537,06-03-2024,Engine Service,Propeller x2,2.1,2672.11,20.0,N,TEC-153
WO-000053,VEH-0537,2024-03-29 00:00:00,Motor Overhaul,"Brake Pads, Fluid",6.8,INR 1193.46,49.9,N,TEC-052
WO-000054,VEH-0537,28/09/2024 00:00,Firmware Update,"Motor, ESC",3.5,INR 14403.01,94.7,no,TEC-080
WO-000055,VEH-0537,16/02/2025 00:00,Engine Service,"Brake Pads, Fluid",4.7,"43,017.12",27.6,,TEC-187
WO-000056,VEH-0537,21-11-2024,Engine Service,"Motor, ESC",2.5,INR 16298.82,7.9,yes,TEC-174
WO-000057,VEH-0103,12-03-2024,Routine Inspection,Battery Pack,2.2,"24,119.11",91.6,N,TEC-219
WO-000058,VEH-0103,2024-09-06 00:00:00,Battery Pack Swap,Propeller x2,9.0,"12,946.17",90.0,no,TEC-100
WO-000059,VEH-0103,2024-07-19 00:00:00,Brake Pad Replacement,Battery Pack,7.0,"24,049.84",5.5,yes,TEC-063
WO-000060,VEH-0103,2024-07-17 00:00:00,Frame Repair,,13.1,"27,588.10",88.6,no,TEC-138
WO-000061,VEH-0103,2025-03-13 00:00:00,Frame Repair,NA,7.9,INR 12719.60,31.4,,TEC-111
WO-000062,VEH-0164,15-01-2025,Landing Gear Fix,Propeller x2,13.1,41820.49,9.4,no,TEC-038
WO-000063,VEH-0164,2024-12-19 00:00:00,Landing Gear Fix,Battery Pack,6.3,INR 13885.09,11.3,no,TEC-039
WO-000064,VEH-0487,01-10-2024,Routine Inspection,Landing Skid,7.0,"32,568.91",80.9,Y,TEC-195
WO-000065,VEH-0487,2024-06-15 00:00:00,Propeller Replacement,Battery Pack,12.4,"27,985.45",33.5,no,TEC-002
WO-000066,VEH-0487,03/11/2024 00:00,Landing Gear Fix,"Motor, ESC",3.8,38233.13,27.8,,TEC-029
WO-000067,VEH-0487,2025-02-06 00:00:00,Propeller Replacement,NA,11.0,"26,872.46",89.1,N,TEC-126
WO-000068,VEH-0487,18-11-2024,Motor Overhaul,"Motor, ESC",10.5,"34,695.62",76.3,yes,TEC-087
WO-000069,VEH-0487,2024-01-03 00:00:00,Routine Inspection,Propeller x2,10.8,"15,572.14",42.6,N,TEC-004
WO-000070,VEH-0528,2024-08-12 00:00:00,Brake Pad Replacement,"Brake Pads, Fluid",7.9,INR 14242.97,39.5,,TEC-093
WO-000071,VEH-0528,2024-10-03 00:00:00,Motor Overhaul,"Motor, ESC",9.1,23683.09,72.5,Y,TEC-123
WO-000072,VEH-0593,2024-12-16 00:00:00,Motor Overhaul,Battery Pack,2.4,"8,720.14",26.8,,TEC-028
WO-000073,VEH-0677,26-03-2025,Brake Pad Replacement,NA,12.6,INR 31925.47,77.4,,TEC-107
WO-000074,VEH-0677,10/02/2025 00:00,Tyre Change,Propeller x2,3.2,12404.04,24.4,,TEC-127
WO-000075,VEH-0677,2024-02-12 00:00:00,Propeller Replacement,Propeller x2,11.9,INR 5186.43,58.4,N,TEC-110
WO-000076,VEH-0542,2025-03-12 00:00:00,Routine Inspection,,9.2,19921.73,59.4,N,TEC-172
WO-000077,VEH-0542,09-04-2024,Landing Gear Fix,Landing Skid,0.5,INR 43538.08,86.7,no,TEC-109
WO-000078,VEH-0542,2024-01-29 00:00:00,Brake Pad Replacement,"Brake Pads, Fluid",12.1,INR 37961.24,50.4,N,TEC-018
WO-000079,VEH-0066,2024-09-12 00:00:00,Brake Pad Replacement,Landing Skid,12.1,"7,377.17",13.2,N,TEC-030
WO-000080,VEH-0066,2024-11-08 00:00:00,Routine Inspection,,13.7,6445.52,86.9,Y,TEC-045
WO-000081,VEH-0066,07/02/2024 00:00,Brake Pad Replacement,,5.3,INR 17703.00,5.7,N,TEC-039
WO-000082,VEH-0066,22-06-2024,Brake Pad Replacement,"Brake Pads, Fluid",8.7,10974.14,20.2,yes,TEC-194
WO-000083,VEH-0231,2024-11-24 00:00:00,Propeller Replacement,,2.5,25784.86,90.0,no,TEC-010
WO-000084,VEH-0231,22-05-2025,Engine Service,Landing Skid,0.8,"30,442.72",10.9,,TEC-021
WO-000085,VEH-0231,28/05/2025 00:00,Engine Service,Battery Pack,5.1,INR 33253.35,57.7,Y,TEC-176
WO-000086,VEH-0231,2025-06-07 00:00:00,Routine Inspection,,7.3,"4,988.04",85.8,Y,TEC-202
WO-000087,VEH-0231,2024-10-09 00:00:00,Engine Service,Landing Skid,11.6,27474.35,57.0,N,TEC-144
WO-000088,VEH-0231,28-06-2024,Brake Pad Replacement,Battery Pack,9.8,INR 4498.27,41.5,,TEC-173
WO-000089,VEH-0311,2024-09-28 00:00:00,Battery Pack Swap,Propeller x2,7.3,28851.71,49.3,yes,TEC-080
WO-000090,VEH-0069,27-06-2024,Battery Pack Swap,,1.9,"11,562.74",61.8,,TEC-016
WO-000091,VEH-0682,24-02-2025,Routine Inspection,"Brake Pads, Fluid",12.6,"37,557.32",21.9,Y,TEC-023
WO-000092,VEH-0724,2025-06-09 00:00:00,Engine Service,Battery Pack,7.4,INR 2443.10,78.8,,TEC-092
WO-000093,VEH-0724,12-03-2025,Motor Overhaul,NA,4.1,"44,351.99",20.7,,TEC-162
WO-000094,VEH-0724,10/02/2024 00:00,Brake Pad Replacement,Landing Skid,13.1,INR 35630.65,14.5,yes,TEC-193
WO-000095,VEH-0724,04-03-2024,Propeller Replacement,,11.7,2990.83,68.4,no,TEC-113
WO-000096,VEH-0724,21/09/2024 00:00,Propeller Replacement,NA,1.1,INR 33711.15,13.6,yes,TEC-005
WO-000097,VEH-0236,27/06/2024 00:00,Motor Overhaul,Battery Pack,8.9,29906.52,20.6,N,TEC-085
WO-000098,VEH-0236,2024-01-23 00:00:00,Motor Overhaul,Battery Pack,8.1,19308.92,66.8,yes,TEC-001
WO-000099,VEH-0236,2024-06-06 00:00:00,Engine Service,NA,12.6,"12,682.05",92.4,yes,TEC-042
WO-000100,VEH-0236,2024-04-12 00:00:00,Propeller Replacement,Propeller x2,5.6,"22,169.33",62.0,no,TEC-002
WO-000101,VEH-0520,23/04/2024 00:00,Brake Pad Replacement,Battery Pack,9.3,"31,280.29",68.2,N,TEC-169
WO-000102,VEH-0520,01/06/2024 00:00,Propeller Replacement,Landing Skid,9.7,"5,961.65",3.2,no,TEC-213
WO-000103,VEH-0520,16-02-2025,Engine Service,"Brake Pads, Fluid",-,INR 35634.44,91.9,no,TEC-028
WO-000104,VEH-0520,12-03-2024,Brake Pad Replacement,Battery Pack,11.6,28814.95,55.8,no,TEC-137
WO-000105,VEH-0520,2024-03-22 00:00:00,Propeller Replacement,"Motor, ESC",13.2,"14,987.29",18.8,Y,TEC-103
WO-000106,VEH-0018,12/12/2024 00:00,Firmware Update,Battery Pack,1.2,4735.47,50.9,,TEC-204
WO-000107,VEH-0018,16-12-2024,Routine Inspection,Landing Skid,2.0,"43,031.28",39.1,yes,TEC-067
WO-000108,VEH-0030,02-07-2024,Brake Pad Replacement,,6.8,"13,207.51",56.3,N,TEC-027
WO-000109,VEH-0030,03/03/2024 00:00,Motor Overhaul,NA,5.6,43654.15,26.4,,TEC-169
WO-000110,VEH-0030,08-05-2024,Propeller Replacement,"Brake Pads, Fluid",2.8,INR 44553.02,5.1,Y,TEC-157
WO-000111,VEH-0030,2024-02-28 00:00:00,Firmware Update,"Brake Pads, Fluid",1.1,"36,625.20",61.8,,TEC-063
WO-000112,VEH-0030,2025-01-03 00:00:00,Frame Repair,"Motor, ESC",4.0,"33,480.80",20.8,no,TEC-091
WO-000113,VEH-0030,2025-03-06 00:00:00,Tyre Change,NA,5.2,INR 15831.69,26.3,,TEC-034
WO-000114,VEH-0190,2024-01-30 00:00:00,Motor Overhaul,Battery Pack,9.2,46740.5,41.9,Y,TEC-097
WO-000115,VEH-0422,13-04-2025,Routine Inspection,"Brake Pads, Fluid",2.9,INR 32953.36,60.3,Y,TEC-029
WO-000116,VEH-0422,26/06/2025 00:00,Routine Inspection,Battery Pack,6.5,"17,971.40",56.7,Y,TEC-173
WO-000117,VEH-0422,07/04/2025 00:00,Routine Inspection,NA,12.3,INR 16454.95,61.4,N,TEC-077
WO-000118,VEH-0433,06-05-2024,Engine Service,,1.3,17709.88,65.0,,TEC-120
WO-000119,VEH-0433,18-08-2024,Engine Service,NA,6.6,"36,270.30",94.6,,TEC-083
WO-000120,VEH-0433,06/10/2024 00:00,Brake Pad Replacement,,1.6,"35,947.26",87.6,,TEC-166
WO-000121,VEH-0433,18-05-2025,Battery Pack Swap,"Motor, ESC",13.5,"23,299.64",27.0,,TEC-195
WO-000122,VEH-0433,21-03-2024,Frame Repair,NA,13.4,7724.68,63.5,yes,TEC-215
WO-000123,VEH-0015,2024-01-10 00:00:00,Battery Pack Swap,Battery Pack,10.3,INR 30750.65,64.8,,TEC-001
WO-000124,VEH-0015,22-05-2025,Landing Gear Fix,,5.9,42300.05,63.9,Y,TEC-208
WO-000125,VEH-0002,24/05/2025 00:00,Propeller Replacement,NA,6.0,INR 28225.03,47.9,Y,TEC-042
WO-000126,VEH-0002,27-02-2025,Routine Inspection,"Motor, ESC",9.3,16795.81,51.4,Y,TEC-203
WO-000127,VEH-0002,10/02/2025 00:00,Motor Overhaul,NA,5.0,INR 14592.80,50.1,Y,TEC-068
WO-000128,VEH-0002,2024-05-23 00:00:00,Motor Overhaul,,2.7,"28,192.47",61.8,yes,TEC-009
WO-000129,VEH-0002,2024-01-25 00:00:00,Engine Service,Landing Skid,0.9,"37,470.64",76.5,N,TEC-203
WO-000130,VEH-0118,2024-04-26 00:00:00,Firmware Update,Landing Skid,4.3,"6,955.46",46.3,yes,TEC-171
WO-000131,VEH-0118,27/05/2025 00:00,Routine Inspection,Propeller x2,13.2,7282.28,67.1,Y,TEC-009
WO-000132,VEH-0118,19-08-2024,Motor Overhaul,"Brake Pads, Fluid",10.3,9909.76,72.9,no,TEC-186
WO-000133,VEH-0118,2025-02-09 00:00:00,Propeller Replacement,"Brake Pads, Fluid",1.2,41889.72,18.8,no,TEC-073
WO-000134,VEH-0118,2025-03-09 00:00:00,Engine Service,NA,3.3,9082.19,59.8,no,TEC-096
WO-000135,VEH-0548,05-03-2025,Routine Inspection,NA,12.3,"20,127.35",34.4,no,TEC-163
WO-000136,VEH-0548,16/11/2024 00:00,Motor Overhaul,NA,2.0,"18,535.76",93.8,,TEC-010
WO-000137,VEH-0207,2025-06-27 00:00:00,Brake Pad Replacement,Battery Pack,7.1,"9,772.70",11.0,Y,TEC-003
WO-000138,VEH-0207,2025-01-06 00:00:00,Frame Repair,"Motor, ESC",11.9,"35,955.30",78.7,,TEC-207
WO-000139,VEH-0207,30-01-2024,Propeller Replacement,"Motor, ESC",12.6,INR 35018.90,42.3,,TEC-201
WO-000140,VEH-0207,2024-10-06 00:00:00,Propeller Replacement,Propeller x2,NA,23321.35,81.5,,TEC-177
WO-000141,VEH-0295,2024-07-10 00:00:00,Engine Service,Battery Pack,9.8,"27,221.24",94.5,Y,TEC-101
WO-000142,VEH-0295,07-06-2024,Firmware Update,Propeller x2,4.6,INR 27985.16,16.4,N,TEC-150
WO-000143,VEH-0046,05-02-2025,Firmware Update,Landing Skid,11.7,"16,949.97",92.0,yes,TEC-139
WO-000144,VEH-0046,25/02/2024 00:00,Landing Gear Fix,NA,4.8,INR 22653.40,14.1,Y,TEC-021
WO-000145,VEH-0046,2024-11-22 00:00:00,Firmware Update,Propeller x2,10.1,13772.94,13.6,no,TEC-103
WO-000146,VEH-0046,2024-03-25 00:00:00,Brake Pad Replacement,"Brake Pads, Fluid",N/A,"15,986.23",54.1,Y,TEC-132
WO-000147,VEH-0046,19/02/2025 00:00,Engine Service,Propeller x2,7.1,INR 16509.47,39.4,Y,TEC-115
WO-000148,VEH-0316,02-07-2025,Frame Repair,Propeller x2,1.6,INR 19657.88,55.7,no,TEC-092
WO-000149,VEH-0523,2024-04-07 00:00:00,Routine Inspection,"Motor, ESC",7.8,INR 43940.29,4.4,N,TEC-063
WO-000150,VEH-0523,03/04/2024 00:00,Brake Pad Replacement,Battery Pack,2.5,INR 15463.21,44.5,N,TEC-126
WO-000151,VEH-0523,2024-01-24 00:00:00,Engine Service,Landing Skid,5.0,INR 29064.45,28.3,,TEC-116
WO-000152,VEH-0523,01/01/2025 00:00,Brake Pad Replacement,"Brake Pads, Fluid",11.6,INR 5897.43,63.1,no,TEC-021
WO-000153,VEH-0523,27/08/2024 00:00,Brake Pad Replacement,"Brake Pads, Fluid",7.0,22328.99,54.5,,TEC-018
WO-000154,VEH-0123,06-04-2025,Engine Service,,8.1,23352.9,7.9,no,TEC-084
WO-000155,VEH-0646,2024-09-04 00:00:00,Tyre Change,,8.3,708.88,35.6,no,TEC-161
WO-000156,VEH-0646,2024-12-16 00:00:00,Motor Overhaul,Battery Pack,11.7,"41,647.62",73.2,Y,TEC-142
WO-000157,VEH-0646,2024-08-03 00:00:00,Battery Pack Swap,,2.0,18854.74,26.9,no,TEC-027
WO-000158,VEH-0646,27/08/2024 00:00,Routine Inspection,NA,11.9,"15,478.58",23.2,N,TEC-087
WO-000159,VEH-0646,08-01-2025,Brake Pad Replacement,,4.9,6693.64,76.5,N,TEC-203
WO-000160,VEH-0646,06-04-2025,Tyre Change,,5.9,"27,625.71",39.0,N,TEC-066
WO-000161,VEH-0216,16/08/2024 00:00,Propeller Replacement,Landing Skid,5.1,22941.44,48.8,,TEC-098
WO-000162,VEH-0216,02/03/2025 00:00,Engine Service,Battery Pack,11.6,740.77,87.0,Y,TEC-182
WO-000163,VEH-0216,03/09/2024 00:00,Frame Repair,Battery Pack,3.7,"26,778.05",29.6,yes,TEC-042
WO-000164,VEH-0664,05-06-2025,Tyre Change,Propeller x2,1.3,"26,501.24",77.7,,TEC-030
WO-000165,VEH-0664,2024-03-01 00:00:00,Landing Gear Fix,,11.4,INR 23380.25,20.1,yes,TEC-053
WO-000166,VEH-0664,13/09/2024 00:00,Battery Pack Swap,NA,9.9,1240.43,15.0,N,TEC-168
WO-000167,VEH-0664,24-12-2024,Brake Pad Replacement,Landing Skid,3.1,"16,196.00",46.1,no,TEC-208
WO-000168,VEH-0664,03-10-2024,Motor Overhaul,,0.7,41723.53,10.5,no,TEC-035
WO-000169,VEH-0227,03-04-2025,Brake Pad Replacement,Propeller x2,9.3,"21,968.91",75.5,N,TEC-078
WO-000170,VEH-0251,07-07-2024,Engine Service,Battery Pack,11.5,750.50,48.3,yes,TEC-144
WO-000171,VEH-0251,2024-06-28 00:00:00,Propeller Replacement,"Brake Pads, Fluid",4.0,INR 24569.07,90.8,,TEC-160
WO-000172,VEH-0251,2024-07-25 00:00:00,Motor Overhaul,NA,10.8,9919.69,71.1,N,TEC-024
WO-000173,VEH-0251,2024-02-13 00:00:00,Engine Service,"Brake Pads, Fluid",11.4,INR 8350.48,1.8,Y,TEC-174
WO-000174,VEH-0251,18/02/2024 00:00,Frame Repair,"Brake Pads, Fluid",8.5,INR 24001.13,93.0,,TEC-136
WO-000175,VEH-0251,2025-02-12 00:00:00,Motor Overhaul,Battery Pack,4.9,INR 19961.33,4.0,Y,TEC-047
WO-000176,VEH-0108,01/12/2024 00:00,Landing Gear Fix,"Brake Pads, Fluid",0.5,INR 20149.99,60.2,yes,TEC-104
WO-000177,VEH-0381,27-08-2024,Routine Inspection,,12.4,"39,257.20",60.9,no,TEC-136
WO-000178,VEH-0381,25-11-2024,Tyre Change,Battery Pack,11.8,16804.25,3.1,N,TEC-151
WO-000179,VEH-0204,2024-08-03 00:00:00,Routine Inspection,Propeller x2,9.0,35095.92,16.9,Y,TEC-019
WO-000180,VEH-0204,27/09/2024 00:00,Propeller Replacement,,1.8,28292.76,29.5,N,TEC-015
WO-000181,VEH-0204,06-08-2024,Routine Inspection,,10.5,"18,268.89",56.6,Y,TEC-177
WO-000182,VEH-0204,2025-01-05 00:00:00,Routine Inspection,Battery Pack,11.0,17684.92,47.0,,TEC-017
WO-000183,VEH-0524,13/03/2025 00:00,Landing Gear Fix,Landing Skid,3.7,"28,901.56",1.8,yes,TEC-101
WO-000184,VEH-0524,10-10-2024,Propeller Replacement,,4.9,20300.49,68.4,N,TEC-057
WO-000185,VEH-0524,2024-08-23 00:00:00,Motor Overhaul,"Motor, ESC",11.4,11474.79,37.0,,TEC-038
WO-000186,VEH-0524,05-04-2025,Routine Inspection,Battery Pack,9.7,INR 39431.01,74.7,yes,TEC-088
WO-000187,VEH-0284,07/11/2024 00:00,Frame Repair,"Brake Pads, Fluid",null,"9,180.57",81.2,yes,TEC-146
WO-000188,VEH-0146,02-12-2024,Landing Gear Fix,NA,11.1,"33,285.13",9.0,N,TEC-168
WO-000189,VEH-0146,21/03/2024 00:00,Propeller Replacement,NA,,32168.69,49.3,no,TEC-151
WO-000190,VEH-0146,2025-02-12 00:00:00,Landing Gear Fix,Propeller x2,3.8,"11,936.31",38.2,no,TEC-134
WO-000191,VEH-0146,11/11/2024 00:00,Engine Service,"Brake Pads, Fluid",12.4,"1,989.78",85.1,yes,TEC-134
WO-000192,VEH-9337,11/02/2025 00:00,Engine Service,"Brake Pads, Fluid",8.0,INR 28483.96,59.3,yes,TEC-047
WO-000193,VEH-0511,2025-06-06 00:00:00,Frame Repair,"Motor, ESC",10.7,"22,360.36",81.4,no,TEC-172
WO-000194,VEH-0380,12/03/2024 00:00,Routine Inspection,NA,10.9,31607.84,89.7,Y,TEC-161
WO-000195,VEH-0380,2025-04-17 00:00:00,Landing Gear Fix,Battery Pack,13.1,"22,020.14",95.7,N,TEC-219
WO-000196,VEH-0380,2025-03-27 00:00:00,Landing Gear Fix,Landing Skid,-,"7,968.38",69.9,no,TEC-062
WO-000197,VEH-0380,2025-03-01 00:00:00,Landing Gear Fix,NA,13.8,"47,795.01",80.3,N,TEC-129
WO-000198,VEH-0380,21-05-2025,Propeller Replacement,Landing Skid,4.4,"23,086.28",52.2,N,TEC-084
WO-000199,VEH-0530,02-01-2025,Motor Overhaul,Landing Skid,10.5,"35,567.01",42.0,,TEC-203
WO-000200,VEH-0530,30-03-2024,Routine Inspection,,unknown,INR 2667.48,49.1,N,TEC-079
WO-000201,VEH-0530,09/01/2025 00:00,Brake Pad Replacement,Propeller x2,1.4,INR 9123.35,84.6,no,TEC-071
WO-000202,VEH-0592,2024-11-12 00:00:00,Frame Repair,NA,9.9,30465.33,20.0,Y,TEC-172
WO-000203,VEH-0592,03/09/2024 00:00,Landing Gear Fix,NA,8.8,46253.73,3.4,N,TEC-108
WO-000204,VEH-0592,2024-05-18 00:00:00,Engine Service,"Motor, ESC",11.7,INR 12110.27,50.0,,TEC-064
WO-000205,VEH-0592,2025-04-13 00:00:00,Tyre Change,"Brake Pads, Fluid",11.6,"46,456.83",32.2,no,TEC-126
WO-000206,VEH-0592,27/09/2024 00:00,Propeller Replacement,"Motor, ESC",10.3,INR 44639.38,65.3,,TEC-157
WO-000207,VEH-0592,2024-09-09 00:00:00,Frame Repair,NA,1.0,"38,205.67",72.1,Y,TEC-096
WO-000208,VEH-0272,05-07-2024,Motor Overhaul,Landing Skid,2.2,"39,667.62",85.8,,TEC-205
WO-000209,VEH-0272,19/05/2025 00:00,Brake Pad Replacement,Propeller x2,13.2,INR 41047.67,40.9,yes,TEC-027
WO-000210,VEH-0272,03/07/2024 00:00,Engine Service,Landing Skid,2.3,21631.44,75.6,,TEC-187
WO-000211,VEH-0272,2024-12-29 00:00:00,Brake Pad Replacement,,12.4,INR 19829.05,56.7,N,TEC-101
WO-000212,VEH-0272,26/06/2025 00:00,Firmware Update,Propeller x2,unknown,"43,937.24",88.9,no,TEC-188
WO-000213,VEH-0272,2025-06-10 00:00:00,Engine Service,Propeller x2,13.6,2038.9,55.0,no,TEC-082
WO-000214,VEH-0073,2024-04-15 00:00:00,Firmware Update,NA,2.6,INR 10789.75,36.2,yes,TEC-213
WO-000215,VEH-0073,25/01/2024 00:00,Routine Inspection,"Brake Pads, Fluid",13.9,INR 30928.34,4.7,yes,TEC-039
WO-000216,VEH-0073,09/08/2024 00:00,Routine Inspection,"Brake Pads, Fluid",11.3,24692.42,43.7,Y,TEC-137
WO-000217,VEH-0535,30-08-2024,Frame Repair,Landing Skid,11.4,10746.08,30.5,,TEC-061
WO-000218,VEH-0535,2025-01-27 00:00:00,Engine Service,"Brake Pads, Fluid",13.3,"9,856.23",26.0,yes,TEC-169
WO-000219,VEH-0535,05-04-2024,Propeller Replacement,,6.3,36140.06,19.2,yes,TEC-200
WO-000220,VEH-0463,2025-03-02 00:00:00,Tyre Change,"Brake Pads, Fluid",  ,"44,588.02",94.1,N,TEC-021
WO-000221,VEH-0463,29/06/2024 00:00,Brake Pad Replacement,Battery Pack,3.4,14543.12,95.3,,TEC-052
WO-000222,VEH-0141,2024-09-25 00:00:00,Battery Pack Swap,NA,7.5,"13,136.13",74.3,yes,TEC-045
WO-000223,VEH-0141,27/09/2024 00:00,Battery Pack Swap,NA,10.8,INR 19265.69,27.5,Y,TEC-017
WO-000224,VEH-0141,07-06-2025,Frame Repair,Battery Pack,7.9,INR 41985.60,18.0,,TEC-007
WO-000225,VEH-0141,2025-05-22 00:00:00,Propeller Replacement,"Motor, ESC",13.8,"13,706.66",5.6,,TEC-166
WO-000226,VEH-0141,27-09-2024,Motor Overhaul,Propeller x2,0.7,"24,901.39",8.7,Y,TEC-065
WO-000227,VEH-0141,2025-06-13 00:00:00,Propeller Replacement,,1.5,"44,461.24",30.9,N,TEC-038
WO-000228,VEH-0128,24/01/2025 00:00,Frame Repair,Landing Skid,6.9,"45,290.91",22.6,no,TEC-159
